ID,name,diffsee/pop,diffhear/pop,diffwalk/pop,diffmemo/pop,diffhyg/pop,diffunder/pop,par/pop,dip/pop,men/pop,hiv/pop,hv/pop,tum/pop,tummal/pop,tumlab/pop,tumeso/pop,tumest/pop,tumcol/pop,tumrec/pop,tumfig/pop,tumpan/pop,tumlar/pop,melpel/pop,tummam/pop,tumcolut/pop,tumute/pop,tumova/pop,tumpro/pop,tumrim/pop,tumbex/pop,tumtec/pop,sang/pop,endo/pop,dia/pop,ment/pop,mental/pop,drog/pop,nerv/pop,mengi/pop,circ/pop,cora/pop,card/pop,cere/pop,resp/pop,grip/pop,pneu/pop,cron/pop,asma/pop,dige/pop,ilc/pop,figa/pop,pele/pop,oste/pop,art/pop,geni/pop,rimur/pop,grav/pop,peri/pop,mfcrom/pop,mfnerv/pop,mfcirc/pop,sint/pop,mlact/pop,mdes/pop,lesen/pop,acid/pop,acidtr/pop,queda/pop,enven/pop,suic/pop,hom/pop,leso/pop
16B1005,Bombarral,2.902871489,3.138239448,15.45582928,9.571630315,22.59532402,5.805742978,0.156911972,0,0,0,0,0.078455986,0.470735917,0.078455986,0,0,0.235367959,0.235367959,0,0.235367959,0.706103876,0,0.235367959,0.078455986,0,0,0.62764789,0,0.078455986,0.549191903,0.078455986,0,0.784559862,0.62764789,0,0,0.470735917,0,1.804487682,1.412207751,0.784559862,1.098383807,0.392279931,0,0.62764789,0.706103876,0.078455986,0.313823945,0,0.313823945,0.078455986,0.156911972,0,0.549191903,0.392279931,0,0,0,0,0,0.156911972,0,0.156911972,0.549191903,0.392279931,0.156911972,0.078455986,0.078455986,0.078455986,0,0.078455986
16B1104,Cadaval,2.617409512,2.76697577,17.42446904,10.84355369,25.50104696,6.28178283,0.224349387,0,0,0,0,0,0.523481902,0.074783129,0,0.149566258,0.448698774,0.149566258,0.074783129,0.224349387,0.373915645,0,0.149566258,0.074783129,0,0.074783129,0.299132516,0.074783129,0.074783129,0,0.074783129,0.373915645,0.747831289,1.121746934,0,0,0.523481902,0,1.196530063,1.046963805,1.42087945,1.346096321,0.523481902,0,0.67304816,0.299132516,0.074783129,0.598265031,0,0.149566258,0.074783129,0,0.074783129,0.747831289,0.299132516,0,0,0,0,0,0.373915645,0,1.794795094,0.373915645,0.224349387,0.074783129,0.074783129,0,0,0,0.149566258
16B1006,Caldas da Rainha,2.691023375,2.828520919,13.25869181,8.406992732,18.81752112,4.851699077,0.098212532,0,0,0.058927519,0.019642506,0.019642506,0.43213514,0.058927519,0.039285013,0.117855038,0.157140051,0.255352583,0.176782557,0.21606757,0.314280102,0.039285013,0.21606757,0.019642506,0.039285013,0.058927519,0.196425064,0.039285013,0.039285013,0.294637596,0.058927519,0.176782557,0.392850128,0.687487723,0.039285013,0.019642506,0.412492634,0,0.9231978,0.766057749,0.903555294,0.903555294,0.235710077,0,0.392850128,0.43213514,0.039285013,0.510705166,0.019642506,0.098212532,0.137497545,0.058927519,0.019642506,0.353565115,0.176782557,0,0,0,0.019642506,0.019642506,0.333922609,0,0.196425064,0.628560204,0.392850128,0.078570026,0.058927519,0.058927519,0.137497545,0.019642506,0.078570026
16B1108,Lourinhã,2.896341463,2.134146341,13.91006098,11.50914634,22.2179878,5.945121951,0.038109756,0,0,0,0,0.114329268,0.342987805,0.114329268,0,0.114329268,0.342987805,0.114329268,0.038109756,0.304878049,0.647865854,0,0.152439024,0.076219512,0.114329268,0.076219512,0.19054878,0.038109756,0.152439024,0.381097561,0.152439024,0.19054878,0.609756098,0.68597561,0,0,0.495426829,0,0.914634146,1.257621951,0.571646341,0.87652439,0.381097561,0,0.304878049,0.152439024,0.038109756,0.381097561,0.038109756,0,0,0.076219512,0,0.228658537,0.342987805,0,0.038109756,0,0,0.038109756,0.495426829,0,0.609756098,0.609756098,0.381097561,0.076219512,0.076219512,0.038109756,0.114329268,0,0.114329268
16B1011,Nazaré,2.419192259,1.881593979,11.42396344,7.99677441,15.1871514,3.964787313,0.13439957,0,0,0.067199785,0,0.067199785,0.470398495,0.26879914,0,0,0.335998925,0,0.067199785,0.13439957,0.604798065,0.067199785,0,0.067199785,0,0,0.201599355,0.067199785,0.067199785,0.26879914,0.13439957,0.40319871,0.201599355,0.26879914,0,0,0.53759828,0,0.739197635,0.80639742,1.075196559,1.612794839,0.604798065,0,0.604798065,0.201599355,0.067199785,0.67199785,0,0.067199785,0.067199785,0,0,0.40319871,0.067199785,0,0,0,0,0,0.470398495,0,0.40319871,0.335998925,0.201599355,0.13439957,0,0,0.13439957,0,0
16B1012,Óbidos,3.103506123,2.180842141,14.42710955,7.38131186,20.38248616,4.361684281,0.167757088,0,0,0.083878544,0,0.251635632,0.754906895,0.083878544,0,0.167757088,0.419392719,0.167757088,0.167757088,0.083878544,0.335514175,0,0.083878544,0,0,0.167757088,0.083878544,0,0,0.503271263,0,0.167757088,0.922663983,0.754906895,0,0,0.167757088,0,0.503271263,0.671028351,0.838785439,1.677570877,0.251635632,0,0.335514175,0.167757088,0.083878544,0.419392719,0,0.083878544,0.083878544,0,0,0.335514175,0.503271263,0,0,0,0,0,0.083878544,0,0.503271263,0.503271263,0.419392719,0,0.083878544,0,0.083878544,0,0
16B1014,Peniche,3.216164062,2.118884559,11.46467895,7.378258731,17.32944871,4.237769117,0.189186121,0.037837224,0,0.075674449,0,0.037837224,0.491883915,0.037837224,0.037837224,0.075674449,0.340535018,0.037837224,0.037837224,0.113511673,0.643232812,0.037837224,0.227023346,0.037837224,0.113511673,0.037837224,0.302697794,0.037837224,0.075674449,0.302697794,0.037837224,0.189186121,0.454046691,0.454046691,0,0,0.302697794,0,1.097279504,0.52972114,1.059442279,1.135116728,0.302697794,0.037837224,0.567558364,0.189186121,0,0.378372243,0,0.037837224,0.037837224,0,0.075674449,0.26486057,0.189186121,0,0.037837224,0.037837224,0,0,0.832418934,0,0.075674449,0.945930607,0.567558364,0.075674449,0.113511673,0.075674449,0.302697794,0.037837224,0
16B1112,Sobral de Monte Agraço,1.992409867,1.138519924,11.38519924,8.44402277,21.5370019,5.218216319,0,0,0,0,0,0,0.284629981,0.189753321,0.189753321,0.09487666,0.189753321,0,0.189753321,0.284629981,0.474383302,0.09487666,0.09487666,0,0,0,0,0,0,0.189753321,0.189753321,0.189753321,0.759013283,0.853889943,0,0,0.284629981,0,0.948766603,1.423149905,0.189753321,1.612903226,0.379506641,0,0.284629981,0.284629981,0,0.569259962,0,0,0,0.189753321,0,0.189753321,0.284629981,0,0,0,0,0,0.09487666,0,0.189753321,0.379506641,0,0,0,0,0,0,0.09487666
16B1113,Torres Vedras,2.383474576,2.359399076,12.08590139,8.835708783,18.32145609,5.453100924,0.156490755,0.01203775,0,0.01203775,0,0.096302003,0.565774268,0.072226502,0,0.156490755,0.252792758,0.096302003,0.084264253,0.072226502,0.361132512,0.048151002,0.168528505,0.01203775,0.072226502,0.01203775,0.276868259,0.048151002,0.072226502,0.240755008,0.048151002,0.264830508,0.469472265,0.409283513,0,0,0.493547766,0,0.517623267,0.770416025,0.92690678,0.770416025,0.276868259,0,0.337057011,0.156490755,0.01203775,0.421321263,0.048151002,0.036113251,0.01203775,0.048151002,0,0.264830508,0.156490755,0,0.024075501,0.024075501,0.01203775,0.01203775,0.373170262,0,0.541698767,0.481510015,0.349094761,0.072226502,0.072226502,0.024075501,0.060188752,0.024075501,0.024075501
16D0101,Águeda,2.189986773,2.601964483,12.38101433,8.434701533,17.49821115,6.201348685,0.086732149,0,0,0,0,0.043366075,0.520392897,0.065049112,0.086732149,0.260196448,0.303562523,0.151781262,0.108415187,0.195147336,0.368611635,0.043366075,0.216830374,0.021683037,0.021683037,0.065049112,0.130098224,0.043366075,0.130098224,0.346928598,0.043366075,0.130098224,0.281879486,0.477026822,0,0,0.433660747,0,0.628808083,0.346928598,0.867321494,0.845638457,0.433660747,0,0.41197771,0.108415187,0,0.32524556,0,0.108415187,0.065049112,0.086732149,0,0.477026822,0.390294672,0,0,0.021683037,0.021683037,0,0.151781262,0,0.260196448,0.628808083,0.41197771,0.086732149,0.173464299,0,0.108415187,0,0.043366075
